1850	5.4349
1860	5.3718
1870	5.5555
1880	5.4202
1890	5.3775
1900	5.5136
1910	5.4885
1920	5.3946
1930	5.3873
1940	5.4204
1950	5.5693
1960	5.4970
1970	5.5173
1980	5.1146
1990	5.2243
2000	5.1660
2010	5.2823
2020	5.4083
2030	5.5024
2040	5.2344
2050	5.3646
2060	5.5729
2070	5.0511
2080	5.2905
2090	5.4038
2100	5.3526
2110	5.0804
2120	5.3314
2130	5.4207
2140	5.3244
2150	5.5475
2160	5.5587
2170	5.3385
2180	5.4475
2190	5.4293
2200	5.4258
2210	5.3436
2220	5.3163
2230	5.0839
2240	5.3644
2250	5.1156
2260	5.3478
2270	5.3158
2280	5.4624
2290	5.3192
2300	5.2706
2310	5.5696
2320	5.2354
2330	5.5385
2340	5.3364
2350	5.5597
2360	5.2884
2370	5.4139
2380	5.2936
2390	5.4469
2400	5.0655
2410	5.2622
2420	5.3600
2430	5.5826
2440	5.2321
2450	5.4566
2460	5.3817
2470	5.4911
2480	5.4519
2490	5.4395
2500	5.3915
2510	5.4750
2520	5.4210
2530	5.4253
2540	5.3895
2550	5.2057
2560	5.4297
2570	5.2784
2580	5.3122
2590	5.3086
2600	5.4378
2610	5.1811
2620	5.3607
2630	5.5808
2640	5.1546
2650	5.4220
2660	5.2784
2670	5.4980
2680	5.2238
2690	5.3862
2700	5.2720
2710	4.9008
2720	5.4543
2730	5.5133
2740	5.3014
2750	5.4208
2760	5.5405
2770	5.2424
2780	5.2369
2790	5.5840
2800	5.5130
2810	5.1727
2820	5.4817
2830	5.4926
2840	5.2727
2850	5.5268
2860	5.4621
2870	5.4860
2880	5.3494
2890	5.5096
2900	5.2997
2910	5.3289
2920	5.5910
2930	4.9672
2940	5.5414
2950	5.3244
2960	5.5264
2970	5.2492
2980	5.5543
2990	5.2880
3000	5.3160
3010	5.4042
3020	5.4297
3030	5.2356
3040	5.1868
3050	5.4194
3060	5.5380
3070	5.3200
3080	5.2604
3090	5.0858
3100	5.3486
3110	5.3650
