#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:32:57       0     77     29      0      0      0      0 
 21:32:58       0     79     31      0      0      0      0 
 21:32:59       0     81     33      0      0      0      0 
 21:33:00       0     81     33      0      0      0      0 
 21:33:01       0     78     32      0      0      0      0 
 21:33:02       0     78     30      0      0      0      0 
 21:33:03       0     81     34      0      0      0      0 
 21:33:04       0     79     32      0      0      0      0 
 21:33:05       0     81     34      0      0      0      0 
 21:33:06       0     79     32      0      0      0      0 
 21:33:07       0     81     33      0      0      0      0 
 21:33:08       0     94     64      0      0      0      0 
 21:33:09       0     84     35      0      0      0      0 
 21:33:10       0     84     32      0      0      0      0 
 21:33:11       0     79     28      0      0      0      0 
 21:33:12       0     82     33      0      0      0      0 
 21:33:13       0     92     55      0      0      0      0 
 21:33:14       0     82     30      0      0      0      0 
 21:33:15       0     82     33      0      0      0      0 
 21:33:16       0     81     32      0      0      0      0 
 21:33:17       0     81     31      0      0      0      0 
 21:33:18       0     92     61      0      0      0      0 
 21:33:19       0     84     33      0      0      0      0 
 21:33:20       0     84     32      0      0      0      0 
 21:33:21       0     83     33      0      0      0      0 
 21:33:22       0     83     32      0      0      0      0 
 21:33:23       0     83     32      0      0      0      0 
 21:33:24       0     94     63      0      0      0      0 
 21:33:25       0     82     28      0      0      0      0 
 21:33:26       0     81     31      0      0      0      0 
 21:33:27       0     84     35      0      0      0      0 
 21:33:28       0     81     32      0      0      0      0 
 21:33:29       0     78     27      0      0      0      0 
 21:33:30       0     82     30      0      0      0      0 
 21:33:31       0     83     34      0      0      0      0 
 21:33:32       0     84     32      0      0      0      0 
 21:33:33       0     80     31      0      0      0      0 
 21:33:34       0     84     35      0      0      0      0 
 21:33:35       0     78     26      0      0      0      0 
 21:33:36       0     84     33      0      0      0      0 
 21:33:37       0     82     31      0      0      0      0 
 21:33:38       0     83     32      0      0      0      0 
 21:33:39       0     84     35      0      0      0      0 
 21:33:40       0     81     32      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:33:41       0     90     57      0      0      0      0 
 21:33:42       0     82     32      0      0      0      0 
 21:33:43       0     96     62      0      0      0      0 
 21:33:44       0     85     35      0      0      0      0 
 21:33:45       0     84     34      0      0      0      0 
 21:33:46       0     81     32      0      0      0      0 
 21:33:47       0     85     35      0      0      0      0 
 21:33:48       0     98     68      0      0      0      0 
 21:33:49       0     84     34      0      0      0      0 
 21:33:50       0     83     34      0      0      0      0 
 21:33:51       0     82     32      0      0      0      0 
 21:33:52       0     80     31      0      0      0      0 
 21:33:53       0     83     34      0      0      0      0 
 21:33:54       0     86     36      0      0      0      0 
 21:33:55       0     81     31      0      0      0      0 
 21:33:56       0     82     34      0      0      0      0 
 21:33:57       0     84     33      0      0      0      0 
 21:33:58       0     84     35      0      0      0      0 
 21:33:59       0     96     67      0      0      0      0 
 21:34:00       0     84     35      0      0      0      0 
 21:34:01       0     82     32      0      0      0      0 
 21:34:02       0     94     61      0      0      0      0 
 21:34:03       0     85     34      0      0      0      0 
 21:34:04       0     83     34      0      0      0      0 
 21:34:05       0     83     35      0      0      0      0 
 21:34:06       0     85     35      0      0      0      0 
 21:34:07       0     85     35      0      0      0      0 
 21:34:08       0     81     34      0      0      0      0 
 21:34:09       0     83     31      0      0      0      0 
 21:34:10       0     85     36      0      0      0      0 
 21:34:11       0     82     34      0      0      0      0 
 21:34:12       0     91     56      0      0      0      0 
 21:34:13       0     84     35      0      0      0      0 
 21:34:14       0     81     33      0      0      0      0 
 21:34:15       0     84     35      0      0      0      0 
 21:34:16       0     84     34      0      0      0      0 
 21:34:17       0     82     34      0      0      0      0 
 21:34:18       0     81     32      0      0      0      0 
 21:34:19       0     84     33      0      0      0      0 
 21:34:20       0     83     32      0      0      0      0 
 21:34:21       0     97     68      0      0      0      0 
 21:34:22       0     90     58      0      0      0      0 
 21:34:23       0     81     33      0      0      0      0 
 21:34:24       0     82     31      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:34:25       0     81     30      0      0      0      0 
 21:34:26       0     85     35      0      0      0      0 
 21:34:27       0     83     34      0      0      0      0 
 21:34:28       0     80     30      0      0      0      0 
 21:34:29       0     83     35      0      0      0      0 
 21:34:30       0     82     31      0      0      0      0 
 21:34:31       0     86     36      0      0      0      0 
 21:34:32       0     82     30      0      0      0      0 
 21:34:33       0     84     33      0      0      0      0 
 21:34:34       0     83     34      0      0      0      0 
 21:34:35       0     82     33      0      0      0      0 
 21:34:36       0     83     34      0      0      0      0 
 21:34:37       0     81     33      0      0      0      0 
 21:34:39       0     80     32      0      0      0      0 
 21:34:40       0     84     35      0      0      0      0 
 21:34:41       0     84     35      0      0      0      0 
 21:34:42       0     83     34      0      0      0      0 
 21:34:43       0     91     55      0      0      0      0 
 21:34:44       0    100     72      0      0      0      0 
 21:34:45       0     84     34      0      0      0      0 
 21:34:46       0     81     32      0      0      0      0 
 21:34:47       0     82     30      0      0      0      0 
 21:34:48       0     97     68      0      0      0      0 
 21:34:49       0     85     36      0      0      0      0 
 21:34:50       0     81     31      0      0      0      0 
 21:34:51       0     76     27      0      0      0      0 
 21:34:52       0     73     25      0      0      0      0 
 21:34:53       0     85     57      0      0      0      0 
 21:34:54       0     77     26      0      0      0      0 
 21:34:55       0     79     30      0      0      0      0 
 21:34:56       0     79     29      0      0      0      0 
 21:34:57       0     79     28      0      0      0      0 
 21:34:58       0     84     30      0      0      0      0 
 21:34:59       0     77     29      0      0      0      0 
 21:35:00       0     74     23      0      0      0      0 
 21:35:01       0     95     67      0      0      0      0 
 21:35:02       0     82     33      0      0      0      0 
 21:35:03       0     80     31      0      0      0      0 
 21:35:04       0     81     32      0      0      0      0 
 21:35:05       0     81     31      0      0      0      0 
 21:35:06       0     79     29      0      0      0      0 
 21:35:07       0     88     54      0      0      0      0 
 21:35:08       0     82     34      0      0      0      0 
 21:35:09       0     81     28      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:35:10       0     81     34      0      0      0      0 
 21:35:11       0     81     32      0      0      0      0 
 21:35:12       0     79     32      0      0      0      0 
 21:35:13       0     83     33      0      0      0      0 
 21:35:14       0     81     32      0      0      0      0 
 21:35:15       0     87     58      0      0      0      0 
 21:35:16       0     81     29      0      0      0      0 
 21:35:17       0     79     31      0      0      0      0 
 21:35:18       0     84     35      0      0      0      0 
 21:35:19       0     84     34      0      0      0      0 
 21:35:20       0     82     33      0      0      0      0 
 21:35:21       0     81     34      0      0      0      0 
 21:35:22       0     80     33      0      0      0      0 
 21:35:23       0     78     29      0      0      0      0 
 21:35:24       0     79     32      0      0      0      0 
 21:35:25       0     85     52      0      0      0      0 
 21:35:26       0     77     27      0      0      0      0 
 21:35:27       0     82     33      0      0      0      0 
 21:35:28       0     79     31      0      0      0      0 
 21:35:29       0     81     33      0      0      0      0 
 21:35:30       0     83     34      0      0      0      0 
 21:35:31       0     82     34      0      0      0      0 
 21:35:32       0     80     32      0      0      0      0 
 21:35:33       0     79     31      0      0      0      0 
 21:35:34       0     83     35      0      0      0      0 
 21:35:35       0     84     34      0      0      0      0 
 21:35:36       0     82     33      0      0      0      0 
 21:35:37       0     84     35      0      0      0      0 
 21:35:38       0     80     32      0      0      0      0 
 21:35:39       0     82     34      0      0      0      0 
 21:35:40       0     84     35      0      0      0      0 
 21:35:41       0     79     39      0      0      0      0 
 21:35:42       0     96     67      0      0      0      0 
 21:35:43       0     80     30      0      0      0      0 
 21:35:44       0     79     30      0      0      0      0 
 21:35:45       0     81     32      0      0      0      0 
 21:35:46       0     83     34      0      0      0      0 
 21:35:47       0     81     33      0      0      0      0 
 21:35:48       0     80     33      0      0      0      0 
 21:35:49       0     82     33      0      0      0      0 
 21:35:50       0     82     33      0      0      0      0 
 21:35:51       0     81     33      0      0      0      0 
 21:35:52       0     80     28      0      0      0      0 
 21:35:53       0     81     30      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:35:54       0     83     32      0      0      0      0 
 21:35:55       0     81     32      0      0      0      0 
 21:35:56       0     82     33      0      0      0      0 
 21:35:57       0     81     31      0      0      0      0 
 21:35:58       0     77     30      0      0      0      0 
 21:35:59       0     81     33      0      0      0      0 
 21:36:00       0     80     33      0      0      0      0 
 21:36:01       0     81     32      0      0      0      0 
 21:36:02       0     77     27      0      0      0      0 
 21:36:03       0     80     31      0      0      0      0 
 21:36:04       0     83     34      0      0      0      0 
 21:36:05       0     77     29      0      0      0      0 
 21:36:06       0     99     71      0      0      0      0 
 21:36:07       0     81     32      0      0      0      0 
 21:36:08       0     77     31      0      0      0      0 
 21:36:09       0     80     32      0      0      0      0 
 21:36:10       0     80     30      0      0      0      0 
 21:36:11       0     80     29      0      0      0      0 
 21:36:12       0     81     32      0      0      0      0 
 21:36:13       0     82     33      0      0      0      0 
 21:36:14       0     82     32      0      0      0      0 
 21:36:15       0     78     30      0      0      0      0 
 21:36:16       0     82     33      0      0      0      0 
 21:36:17       0     81     32      0      0      0      0 
 21:36:18       0     78     31      0      0      0      0 
 21:36:19       0     78     29      0      0      0      0 
 21:36:20       0     80     31      0      0      0      0 
 21:36:21       0     78     30      0      0      0      0 
 21:36:22       0     80     33      0      0      0      0 
 21:36:23       0     76     30      0      0      0      0 
 21:36:24       0     94     68      0      0      0      0 
 21:36:25       0     74     28      0      0      0      0 
 21:36:26       0     93     62      0      0      0      0 
 21:36:27       0     79     28      0      0      0      0 
 21:36:28       0     95     65      0      0      0      0 
 21:36:29       0     79     30      0      0      0      0 
 21:36:30       0     74     26      0      0      0      0 
 21:36:31       0     76     27      0      0      0      0 
 21:36:32       0     75     27      0      0      0      0 
 21:36:33       0     75     30      0      0      0      0 
 21:36:34       0     81     33      0      0      0      0 
 21:36:35       0     80     31      0      0      0      0 
 21:36:36       0     82     34      0      0      0      0 
 21:36:37       0     80     27      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 21:36:38       0     97     66      0      0      0      0 
 21:36:39       0     79     26      0      0      0      0 
 21:36:40       0     82     33      0      0      0      0 
 21:36:41       0     80     33      0      0      0      0 
 21:36:42       0     80     33      0      0      0      0 
 21:36:43       0     83     33      0      0      0      0 
 21:36:44       0     81     32      0      0      0      0 
 21:36:45       0     82     33      0      0      0      0 
 21:36:46       0     76     29      0      0      0      0 
 21:36:47       0     81     33      0      0      0      0 
 21:36:48       0     82     34      0      0      0      0 
 21:36:49       0     75     28      0      0      0      0 
 21:36:50       0     89     58      0      0      0      0 
 21:36:51       0     94     62      0      0      0      0 
 21:36:53       0     82     33      0      0      0      0 
 21:36:54       0     80     31      0      0      0      0 
 21:36:55       0     77     30      0      0      0      0 
 21:36:56       0     81     33      0      0      0      0 
 21:36:57       0     81     32      0      0      0      0 
 21:36:58       0     87     58      0      0      0      0 
 21:36:59       0     79     29      0      0      0      0 
 21:37:00       0     77     30      0      0      0      0 
 21:37:01       0     82     32      0      0      0      0 
 21:37:02       0     81     32      0      0      0      0 
 21:37:03       0     97     67      0      0      0      0 
 21:37:04       0     80     30      0      0      0      0 
 21:37:05       0     86     56      0      0      0      0 
 21:37:06       0     82     30      0      0      0      0 
 21:37:07       0     80     30      0      0      0      0 
 21:37:08       0     81     30      0      0      0      0 
 21:37:09       0     96     64      0      0      0      0 
 21:37:10       0     80     28      0      0      0      0 
 21:37:11       0     83     32      0      0      0      0 
 21:37:12       0     79     26      0      0      0      0 
 21:37:13       0     80     30      0      0      0      0 
 21:37:14       0     82     33      0      0      0      0 
 21:37:15       0     82     34      0      0      0      0 
 21:37:16       0     76     30      0      0      0      0 
 21:37:17       0     77     30      0      0      0      0 
 21:37:18       0     79     29      0      0      0      0 
 21:37:19       0     80     27      0      0      0      0 
 21:37:20       0     80     29      0      0      0      0 
 21:37:21       0     90     58      0      0      0      0 
 21:37:22       0     80     29      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
