#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:12:48       0     80     30      0      0      0      0 
 22:12:49       0     74     27      0      0      0      0 
 22:12:50       0     80     30      0      0      0      0 
 22:12:51       0     81     33      0      0      0      0 
 22:12:52       0     82     35      0      0      0      0 
 22:12:53       0    100     63      0      0      0      0 
 22:12:54       0     84     33      0      0      0      0 
 22:12:55       0     78     31      0      0      0      0 
 22:12:56       0     82     32      0      0      0      0 
 22:12:57       0     89     50      0      0      0      0 
 22:12:58       0     81     31      0      0      0      0 
 22:12:59       0     76     27      0      0      0      0 
 22:13:00       0     78     30      0      0      0      0 
 22:13:01       0     83     32      0      0      0      0 
 22:13:02       0     85     35      0      0      0      0 
 22:13:03       0     74     26      0      0      0      0 
 22:13:04       0     94     55      0      0      0      0 
 22:13:05       0     80     32      0      0      0      0 
 22:13:06       0     81     32      0      0      0      0 
 22:13:07       0     81     34      0      0      0      0 
 22:13:08       0     77     31      0      0      0      0 
 22:13:09       0     79     31      0      0      0      0 
 22:13:10       0     77     30      0      0      0      0 
 22:13:11       0     84     35      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:13:12       0     84     32      0      0      0      0 
 22:13:13       0     82     32      0      0      0      0 
 22:13:14       0     81     31      0      0      0      0 
 22:13:15       0     83     32      0      0      0      0 
 22:13:16       0     76     29      0      0      0      0 
 22:13:17       0     85     33      0      0      0      0 
 22:13:18       0     81     33      0      0      0      0 
 22:13:19       0     88     37      0      0      0      0 
 22:13:20       0     83     34      0      0      0      0 
 22:13:21       0     75     28      0      0      0      0 
 22:13:22       0     80     30      0      0      0      0 
 22:13:23       0     77     28      0      0      0      0 
 22:13:24       0     81     33      0      0      0      0 
 22:13:25       0     78     29      0      0      0      0 
 22:13:26       0     80     30      0      0      0      0 
 22:13:27       0     83     34      0      0      0      0 
 22:13:28       0     85     35      0      0      0      0 
 22:13:29       0     75     28      0      0      0      0 
 22:13:30       0     82     32      0      0      0      0 
 22:13:31       0     81     33      0      0      0      0 
 22:13:32       0     78     30      0      0      0      0 
 22:13:33       0     81     32      0      0      0      0 
 22:13:34       0     84     34      0      0      0      0 
 22:13:35       0     82     33      0      0      0      0 
 22:13:36       0     79     34      0      0      0      0 
 22:13:37       0     79     30      0      0      0      0 
 22:13:38       0     85     35      0      0      0      0 
 22:13:39       0     85     38      0      0      0      0 
 22:13:40       0     78     30      0      0      0      0 
 22:13:41       0     81     33      0      0      0      0 
 22:13:42       0     82     32      0      0      0      0 
 22:13:43       0     86     37      0      0      0      0 
 22:13:44       0     85     37      0      0      0      0 
 22:13:45       0     88     39      0      0      0      0 
 22:13:46       0     82     33      0      0      0      0 
 22:13:47       0     85     37      0      0      0      0 
 22:13:48       0     84     36      0      0      0      0 
 22:13:49       0     87     36      0      0      0      0 
 22:13:50       0     86     39      0      0      0      0 
 22:13:51       0     86     37      0      0      0      0 
 22:13:52       0     85     38      0      0      0      0 
 22:13:53       0     85     35      0      0      0      0 
 22:13:54       0     86     36      0      0      0      0 
 22:13:55       0     81     35      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:13:56       0     81     32      0      0      0      0 
 22:13:57       0     84     36      0      0      0      0 
 22:13:58       0     82     33      0      0      0      0 
 22:13:59       0     79     32      0      0      0      0 
 22:14:00       0     79     33      0      0      0      0 
 22:14:01       0     84     36      0      0      0      0 
 22:14:02       0     81     35      0      0      0      0 
 22:14:03       0     82     35      0      0      0      0 
 22:14:04       0     84     35      0      0      0      0 
 22:14:05       0     81     33      0      0      0      0 
 22:14:06       0     83     36      0      0      0      0 
 22:14:07       0     89     40      0      0      0      0 
 22:14:08       0     82     35      0      0      0      0 
 22:14:09       0     84     36      0      0      0      0 
 22:14:10       0     86     38      0      0      0      0 
 22:14:11       0     83     35      0      0      0      0 
 22:14:12       0     84     36      0      0      0      0 
 22:14:13       0     85     35      0      0      0      0 
 22:14:14       0     84     36      0      0      0      0 
 22:14:15       0     85     37      0      0      0      0 
 22:14:16       0     85     35      0      0      0      0 
 22:14:17       0     88     40      0      0      0      0 
 22:14:18       0     85     38      0      0      0      0 
 22:14:19       0     84     35      0      0      0      0 
 22:14:20       0     85     36      0      0      0      0 
 22:14:21       0     84     37      0      0      0      0 
 22:14:22       0     86     37      0      0      0      0 
 22:14:23       0     83     35      0      0      0      0 
 22:14:24       0     84     36      0      0      0      0 
 22:14:25       0     86     38      0      0      0      0 
 22:14:26       0     85     36      0      0      0      0 
 22:14:27       0     85     38      0      0      0      0 
 22:14:28       0     86     38      0      0      0      0 
 22:14:29       0     87     36      0      0      0      0 
 22:14:30       0     88     39      0      0      0      0 
 22:14:31       0     88     38      0      0      0      0 
 22:14:32       0     88     40      0      0      0      0 
 22:14:33       0     83     35      0      0      0      0 
 22:14:34       0     83     36      0      0      0      0 
 22:14:35       0     85     38      0      0      0      0 
 22:14:36       0     83     37      0      0      0      0 
 22:14:37       0     83     36      0      0      0      0 
 22:14:38       0     87     38      0      0      0      0 
 22:14:39       0     88     38      0      0      0      0 
#Time         gpu     sm    mem    enc    dec    jpg    ofa 
#HH:MM:SS     Idx      %      %      %      %      %      % 
 22:14:40       0     87     38      0      0      0      0 
 22:14:41       0     88     39      0      0      0      0 
 22:14:42       0     83     36      0      0      0      0 
 22:14:43       0     81     34      0      0      0      0 
 22:14:44       0     97     61      0      0      0      0 
 22:14:45       0     87     39      0      0      0      0 
 22:14:46       0     83     35      0      0      0      0 
 22:14:47       0     87     39      0      0      0      0 
 22:14:48       0     88     40      0      0      0      0 
 22:14:49       0     88     39      0      0      0      0 
 22:14:50       0     87     38      0      0      0      0 
 22:14:51       0     87     39      0      0      0      0 
 22:14:52       0     83     36      0      0      0      0 
 22:14:53       0     86     38      0      0      0      0 
 22:14:54       0     81     36      0      0      0      0 
 22:14:55       0     82     34      0      0      0      0 
 22:14:56       0     82     36      0      0      0      0 
 22:14:57       0     84     37      0      0      0      0 
 22:14:58       0     86     37      0      0      0      0 
 22:14:59       0     82     37      0      0      0      0 
 22:15:00       0     86     39      0      0      0      0 
 22:15:01       0     86     48      0      0      0      0 
 22:15:02       0     85     37      0      0      0      0 
 22:15:03       0     84     36      0      0      0      0 
 22:15:04       0     83     37      0      0      0      0 
 22:15:05       0     88     38      0      0      0      0 
 22:15:06       0     84     34      0      0      0      0 
 22:15:07       0     86     39      0      0      0      0 
 22:15:08       0     82     35      0      0      0      0 
 22:15:09       0     96     61      0      0      0      0 
 22:15:10       0     89     39      0      0      0      0 
 22:15:11       0     85     38      0      0      0      0 
 22:15:12       0     86     38      0      0      0      0 
 22:15:14       0     85     36      0      0      0      0 
 22:15:15       0     83     36      0      0      0      0 
 22:15:16       0     88     46      0      0      0      0 
 22:15:17       0     92     53      0      0      0      0 
 22:15:18       0     84     37      0      0      0      0 
 22:15:19       0     86     37      0      0      0      0 
 22:15:20       0     85     37      0      0      0      0 
 22:15:21       0     79     30      0      0      0      0 
 22:15:22       0     80     31      0      0      0      0 
 22:15:23       0     99     63      0      0      0      0 
